Date,Opponent,Location,Indiana Score,Opponent Score,Win
11/5/2019,Western Illinois,Home,98,65,1
11/9/2019,Portland State,Home,85,74,1
11/12/2019,North Alabama,Home,91,65,1
11/16/2019,Troy,Home,100,62,1
11/20/2019,Princeton,Home,79,54,1
11/25/2019,Louisiana Tech,Home,88,75,1
11/30/2019,South Dakota State,Home,64,50,1
12/3/2019,Floria State,Home,80,64,1
12/27/2019,Wisconsin,Away,64,84,0
12/10/2019,Connecticut,Neutral,57,54,1
12/13/2019,Nebraska,Home,96,90,1
12/21/2019,Notre Dame,Neutral,62,60,1
12/29/2019,Arkansas,Home,64,71,0
1/4/2020,Maryland,Away,59,75,0
1/8/2020,Northwestern,Home,66,62,1
1/11/2020,Ohio State,Home,66,54,1
1/15/2020,Rutgers,Away,50,59,0
1/18/2020,Nebraska,Away,82,74,1
1/23/2020,Michigan State,Home,67,63,1
1/26/2020,Maryland,Home,76,77,0
1/29/2020,Pennsylvania Sate,Away,49,64,0
2/1/2020,Ohio State,Away,59,68,0
2/8/2020,Purdue,Home,62,74,0
2/13/2020,Iowa,Home,89,77,1
2/16/2020,Michigan,Away,65,89,0
2/19/2020,Minnesota,Away,68,56,1
2/23/2020,Pennsylvania Sate,Home,68,60,1
2/27/2020,Purdue,Away,49,57,0
3/1/2020,Illinois,Away,66,67,0
3/4/2020,Minnesota,Home,72,67,1
3/7/2020,Wisconsin,Home,56,60,0
3/11/2020,Nebraska,Home,89,64,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
